Feature1,Feature2
X201496_x_at,X202286_s_at
X201496_x_at,X215108_x_at
X201525_at,X202831_at
X201525_at,X204470_at
X201525_at,X206286_s_at
X201525_at,X207850_at
X201525_at,X213953_at
X201525_at,X215108_x_at
X201884_at,X204470_at
X201884_at,X206286_s_at
X201884_at,X207850_at
X201884_at,X212942_s_at
X201909_at,X201525_at
X201909_at,X202376_at
X201909_at,X209016_s_at
X201909_at,X209351_at
X201909_at,X209604_s_at
X202286_s_at,X209016_s_at
X202286_s_at,X209343_at
X202286_s_at,X209351_at
X202286_s_at,X209604_s_at
X202376_at,X201884_at
X202376_at,X202859_x_at
X202376_at,X203691_at
X202376_at,X204351_at
X202376_at,X204470_at
X202376_at,X206286_s_at
X202376_at,X207850_at
X202376_at,X212942_s_at
X202376_at,X213953_at
X202831_at,X203691_at
X202831_at,X204470_at
X202831_at,X206286_s_at
X202831_at,X207850_at
X202831_at,X212942_s_at
X202831_at,X213953_at
X202859_x_at,X202831_at
X202859_x_at,X204351_at
X202859_x_at,X204470_at
X202859_x_at,X206286_s_at
X202859_x_at,X207850_at
X202859_x_at,X212942_s_at
X202859_x_at,X213953_at
X203691_at,X202831_at
X203691_at,X206286_s_at
X203691_at,X212942_s_at
X203691_at,X213953_at
X204351_at,X201884_at
X204351_at,X201909_at
X204351_at,X202831_at
X204351_at,X202859_x_at
X204351_at,X203691_at
X204351_at,X206286_s_at
X204351_at,X207850_at
X204351_at,X212942_s_at
X204351_at,X213953_at
X204470_at,X209016_s_at
X204470_at,X209343_at
X204470_at,X209351_at
X204470_at,X209604_s_at
X204653_at,X201884_at
X204653_at,X201909_at
X204653_at,X202831_at
X204653_at,X202859_x_at
X204653_at,X203691_at
X204653_at,X204351_at
X204653_at,X204470_at
X204653_at,X207850_at
X204653_at,X212942_s_at
X204653_at,X213953_at
X204653_at,X215108_x_at
X204653_at,X217157_x_at
X206286_s_at,X201884_at
X206286_s_at,X201909_at
X206286_s_at,X202831_at
X206286_s_at,X202859_x_at
X206286_s_at,X203691_at
X206286_s_at,X204470_at
X206286_s_at,X212942_s_at
X206286_s_at,X213953_at
X207850_at,X202286_s_at
X207850_at,X202376_at
X207850_at,X204653_at
X207850_at,X209343_at
X207850_at,X209351_at
X207850_at,X209604_s_at
X207850_at,X217157_x_at
X209016_s_at,X202376_at
X209016_s_at,X204653_at
X209016_s_at,X209351_at
X209343_at,X202286_s_at
X209343_at,X202376_at
X209343_at,X204653_at
X209343_at,X209016_s_at
X209343_at,X209604_s_at
X209351_at,X202286_s_at
X209351_at,X202376_at
X209351_at,X204653_at
X209351_at,X209016_s_at
X209604_s_at,X201496_x_at
X211798_x_at,X201909_at
X211798_x_at,X202831_at
X211798_x_at,X202859_x_at
X211798_x_at,X203691_at
X211798_x_at,X204351_at
X211798_x_at,X204470_at
X211798_x_at,X206286_s_at
X211798_x_at,X207850_at
X211798_x_at,X213953_at
X212942_s_at,X201884_at
X212942_s_at,X202831_at
X212942_s_at,X202859_x_at
X212942_s_at,X203691_at
X212942_s_at,X204351_at
X212942_s_at,X204470_at
X212942_s_at,X206286_s_at
X212942_s_at,X207850_at
X212942_s_at,X215108_x_at
X213953_at,X201496_x_at
X213953_at,X201525_at
X213953_at,X201884_at
X213953_at,X206286_s_at
X215108_x_at,X206286_s_at
X215108_x_at,X209016_s_at
X217157_x_at,X201525_at
X217157_x_at,X211798_x_at
X217157_x_at,X215108_x_at
