Feature,Associated Feature (ConditionalProb),Pearson_Correlation,Coefficients,T-test P-value,Chi-squared P-value,Cramér's V
X201496_x_at,X215108_x_at,0.288300273,0.046529738,,2.02E-18,0.759107758
X201525_at,,,-0.084478892,,,
X201884_at,X212942_s_at,0.873566231,0.077184271,1.23E-06,1.01E-28,0.933721288
X201884_at,X204470_at,0.724613509,0.077184271,1.23E-06,1.12E-17,0.744817427
X201909_at,X201525_at,0.351635754,0.065261424,,6.56E-09,0.702781928
X202286_s_at,,,-0.151896425,5.07E-14,,
X202376_at,,,-0.106159911,,,
X202831_at,X212942_s_at,0.825351874,0.079691207,6.54E-07,1.14E-39,0.911714664
X202831_at,X213953_at,0.865076664,0.079691207,6.54E-07,4.14E-20,0.790569415
X202831_at,X204470_at,0.731562818,0.079691207,6.54E-07,1.57E-26,0.760374031
X202831_at,X203691_at,0.73423289,0.079691207,6.54E-07,2.02E-22,0.705706846
X202859_x_at,,,0.096413308,7.15E-08,,
X203691_at,X213953_at,0.830046172,0.05288477,,2.36E-24,0.864264499
X203691_at,X202831_at,0.73423289,0.05288477,,2.02E-22,0.705706846
X204351_at,X202831_at,0.888737404,0.090927376,7.80E-08,1.60E-22,0.707106781
X204351_at,X201884_at,0.88973955,0.090927376,7.80E-08,8.57E-16,0.707106781
X204351_at,X213953_at,0.792108537,0.090927376,7.80E-08,1.10E-15,0.704893609
X204351_at,X201909_at,0.318684216,0.090927376,7.80E-08,6.56E-09,0.702781928
X204470_at,,,0.071207228,,,
X204653_at,,,-0.142788944,6.39E-12,,
X206286_s_at,X204470_at,0.78674045,0.068530741,,2.34E-24,0.864336695
X207850_at,,,0.074729473,,,
X209016_s_at,,,-0.122921225,4.38E-08,,
X209343_at,,,-0.145732661,1.93E-11,,
X209351_at,,,-0.072354127,,,
X209604_s_at,,,-0.139935933,2.45E-11,,
X211798_x_at,X202831_at,0.405100447,0.009633371,,6.97E-18,1
X211798_x_at,X204351_at,0.389646874,0.009633371,,6.56E-09,0.702781928
X212942_s_at,X201884_at,0.873566231,0.056509602,,1.01E-28,0.933721288
X212942_s_at,X202831_at,0.825351874,0.056509602,,1.14E-39,0.911714664
X212942_s_at,X215108_x_at,0.798229562,0.056509602,,9.87E-34,0.846947293
X213953_at,X201884_at,0.850099949,0.054391423,,5.19E-17,0.704893609
X215108_x_at,X206286_s_at,0.686329339,0.053574491,,2.05E-18,0.758974088
X217157_x_at,X211798_x_at,0.947064747,-0.003363314,,6.97E-18,1
X205225_at,,,,6.23E-09,,
X209602_s_at,,,,2.02E-08,,
X218502_s_at,,,,9.03E-08,,
X209309_at,,,,2.81E-07,,
X209603_at,,,,3.05E-07,,
X202575_at,,,,3.41E-07,,
X210239_at,,,,3.75E-07,,
X221245_s_at,,,,3.87E-07,,
X44790_s_at,,,,1.11E-06,,
X204580_at,,,,1.47E-06,,
X218847_at,,,,2.53E-06,,
X218687_s_at,,,,3.40E-06,,
X203824_at,,,,3.71E-06,,
X218796_at,,,,4.80E-06,,
